종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"052220","iMBC","KOSDAQ","중견기업부","2650","-75","-2.75","2725","2725","2600","131553","348889650","60950000000","23000000"
"139130","iM금융지주","KOSPI",,"17910","-240","-1.32","18400","18400","17500","589627","10587499740","2876786281530","160624583"
"079940","가비아","KOSDAQ","우량기업부","31500","-600","-1.87","32500","32500","31050","11056","351069925","422751546000","13420684"
"078890","가온그룹","KOSDAQ","중견기업부","7920","-180","-2.22","8230","8380","7710","729283","5826025160","145925548560","18424943"
"000500","가온전선","KOSPI",,"380000","41500","12.26","325000","415000","295500","843962","308101125750","6286383700000","16543115"
"399720","가온칩스","KOSDAQ","벤처기업부","59300","-2300","-3.73","58900","60500","55600","112208","6504335800","702043449200","11838844"
"296520","가이아코퍼레이션","KONEX","일반기업부","402","-16","-3.83","402","402","402","1","402","1876137216","4667008"
"036620","감성코퍼레이션","KOSDAQ","우량기업부","5320","-80","-1.48","5400","5420","5140","510408","2697072060","481480061720","90503771"
"000860","강남제비스코","KOSPI",,"15090","-260","-1.69","14870","15270","14700","12552","187696010","196170000000","13000000"
"198440","강동씨앤엘","KOSDAQ","중견기업부","1038","-2","-0.19","1030","1079","1003","52439","53492706","63247308048","60931896"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","3050","-245","-7.44","3265","3270","2835","1520143","4667323748","286865154450","94054149"
"035250","강원랜드","KOSPI",,"15950","-350","-2.15","16290","16290","15750","698199","11146676100","3412350975000","213940500"
"114190","강원에너지","KOSDAQ","중견기업부","12260","-390","-3.08","12250","12430","11700","91647","1115034870","320268445880","26123038"
"094480","갤럭시아머니트리","KOSDAQ","우량기업부","7010","-60","-0.85","7100","7120","6630","285866","1962131285","275001164380","39229838"
"011420","갤럭시아에스엠","KOSPI",,"1715","-13","-0.75","1727","1741","1692","67325","115518291","47247639460","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","2585","-10","-0.39","2540","2640","2525","103396","265689395","69742276340","26979604"
"053950","경남제약","KOSDAQ","중견기업부","2915","-25","-0.85","2850","3090","2850","144587","421838401","45559907965","15629471"
"002100","경농","KOSPI",,"9550","-80","-0.83","9600","9715","9460","65876","631358425","186440591250","19522575"
"009450","경동나비엔","KOSPI",,"71600","1000","1.42","69800","72600","67600","103151","7303933800","1043111187200","14568592"
